,Forecast,Lower,Upper
2024-08-01,120.49267348143069,111.05601379844572,129.92933316441565
2024-09-01,117.84600084892075,105.17635820189648,130.51564349594503
2024-10-01,120.99420218770095,106.15770790422391,135.830696471178
2024-11-01,119.22842447886536,102.0486375131992,136.40821144453153
2024-12-01,121.47166142732846,102.59425916397133,140.34906369068557
2025-01-01,120.47874530874724,99.7693759218658,141.18811469562868
2025-02-01,122.09025672332052,99.90549209035646,144.27502135628458
2025-03-01,121.60755321839078,97.88328863017088,145.33181780661067
2025-04-01,122.80838756904856,97.75762604728888,147.85914909080824
2025-05-01,122.65592305301283,96.25469027676526,149.0571558292604
2025-06-01,123.5912752000848,95.97515688856684,151.20739351160273
2025-07-01,123.65221726333644,94.81875381303085,152.485680713642
