,0
2024-08-01,112.84195
2024-09-01,113.938255
2024-10-01,114.71215
2024-11-01,115.21791
2024-12-01,115.53751
2025-01-01,115.721825
2025-02-01,115.806114
2025-03-01,115.82232
2025-04-01,115.788826
2025-05-01,115.7231
2025-06-01,115.636055
2025-07-01,115.53827
